 time            time            v(n1)           v(n2)           v(n3)           i(vdd)         
 1.84280000e-10  1.84280000e-10  1.98409139e-02  1.71247364e+00  1.74281239e-01 -2.35241855e-03 
 1.85280000e-10  1.85280000e-10  1.93860408e-02  1.71819326e+00  1.58327851e-01 -2.35018977e-03 
 1.86280000e-10  1.86280000e-10  1.88450052e-02  1.72368112e+00  1.44591416e-01 -2.35830800e-03 
 1.87280000e-10  1.87280000e-10  1.81611233e-02  1.72900339e+00  1.33452943e-01 -2.36081568e-03 
 1.88280000e-10  1.88280000e-10  1.72820191e-02  1.73413591e+00  1.24702952e-01 -2.36363256e-03 
 1.89280000e-10  1.89280000e-10  1.61734293e-02  1.73898976e+00  1.17640682e-01 -2.36291418e-03 
 1.90280000e-10  1.90280000e-10  1.48204189e-02  1.74351876e+00  1.11778367e-01 -2.36492334e-03 
 1.91280000e-10  1.91280000e-10  1.32208621e-02  1.74770219e+00  1.06758561e-01 -2.36416363e-03 
 1.92280000e-10  1.92280000e-10  1.13806055e-02  1.75153612e+00  1.02317427e-01 -2.36567476e-03 
 1.93280000e-10  1.93280000e-10  9.30959814e-03  1.75502762e+00  9.82606092e-02 -2.36304566e-03 
 1.94280000e-10  1.94280000e-10  7.01866871e-03  1.75819065e+00  9.44463835e-02 -2.36060039e-03 
 1.95280000e-10  1.95280000e-10  4.51662367e-03  1.76104310e+00  9.07733483e-02 -2.35130643e-03 
 1.96280000e-10  1.96280000e-10  1.80708957e-03  1.76360455e+00  8.71713036e-02 -2.33881123e-03 
 1.97280000e-10  1.97280000e-10 -1.11651549e-03  1.76589420e+00  8.35951113e-02 -2.31501877e-03 
 1.98280000e-10  1.98280000e-10 -4.28487980e-03  1.76792825e+00  8.00254473e-02 -2.28111426e-03 
 1.99280000e-10  1.99280000e-10 -7.83188487e-03  1.76971250e+00  7.65262966e-02 -2.22230329e-03 
 2.00280000e-10  2.00280000e-10 -1.22389557e-02  1.77123840e+00  7.35574460e-02 -2.15712829e-03 
 2.01280000e-10  2.01280000e-10 -1.75238398e-02  1.77251853e+00  7.10543426e-02 -2.08217030e-03 
 2.02280000e-10  2.02280000e-10 -2.30310925e-02  1.77361802e+00  6.83733791e-02 -2.04910059e-03 
 2.03280000e-10  2.03280000e-10 -2.86050719e-02  1.77459509e+00  6.55863193e-02 -2.03124993e-03 
 2.04280000e-10  2.04280000e-10 -3.41890640e-02  1.77547784e+00  6.27333368e-02 -2.02730102e-03 
