 frequency       frequency       frequency       vdb(out)        vp(out)        
 5.62341325e+03  5.62341325e+03  0.00000000e+00  8.14896031e+01  1.57888332e+00 
 5.78761988e+03  5.78761988e+03  0.00000000e+00  8.12396190e+01  1.57865389e+00 
 5.95662144e+03  5.95662144e+03  0.00000000e+00  8.09896340e+01  1.57843096e+00 
 6.13055792e+03  6.13055792e+03  0.00000000e+00  8.07396481e+01  1.57821435e+00 
 6.30957344e+03  6.30957344e+03  0.00000000e+00  8.04896615e+01  1.57800389e+00 
 6.49381632e+03  6.49381632e+03  0.00000000e+00  8.02396741e+01  1.57779941e+00 
 6.68343918e+03  6.68343918e+03  0.00000000e+00  7.99896861e+01  1.57760072e+00 
 6.87859912e+03  6.87859912e+03  0.00000000e+00  7.97396973e+01  1.57740767e+00 
 7.07945784e+03  7.07945784e+03  0.00000000e+00  7.94897079e+01  1.57722009e+00 
 7.28618175e+03  7.28618175e+03  0.00000000e+00  7.92397179e+01  1.57703784e+00 
 7.49894209e+03  7.49894209e+03  0.00000000e+00  7.89897274e+01  1.57686076e+00 
 7.71791516e+03  7.71791516e+03  0.00000000e+00  7.87397363e+01  1.57668870e+00 
 7.94328235e+03  7.94328235e+03  0.00000000e+00  7.84897448e+01  1.57652152e+00 
 8.17523038e+03  8.17523038e+03  0.00000000e+00  7.82397527e+01  1.57635909e+00 
 8.41395142e+03  8.41395142e+03  0.00000000e+00  7.79897603e+01  1.57620126e+00 
 8.65964323e+03  8.65964323e+03  0.00000000e+00  7.77397674e+01  1.57604791e+00 
 8.91250938e+03  8.91250938e+03  0.00000000e+00  7.74897741e+01  1.57589891e+00 
 9.17275935e+03  9.17275935e+03  0.00000000e+00  7.72397804e+01  1.57575414e+00 
 9.44060876e+03  9.44060876e+03  0.00000000e+00  7.69897864e+01  1.57561348e+00 
 9.71627952e+03  9.71627952e+03  0.00000000e+00  7.67397920e+01  1.57547680e+00 
 1.00000000e+04  1.00000000e+04  0.00000000e+00  7.64897973e+01  1.57534401e+00 
 1.02920053e+04  1.02920053e+04  0.00000000e+00  7.62398023e+01  1.57521498e+00 
 1.05925373e+04  1.05925373e+04  0.00000000e+00  7.59898071e+01  1.57508961e+00 
 1.09018449e+04  1.09018449e+04  0.00000000e+00  7.57398116e+01  1.57496780e+00 
 1.12201845e+04  1.12201845e+04  0.00000000e+00  7.54898158e+01  1.57484944e+00 
 1.15478198e+04  1.15478198e+04  0.00000000e+00  7.52398198e+01  1.57473444e+00 
 1.18850223e+04  1.18850223e+04  0.00000000e+00  7.49898235e+01  1.57462271e+00 
 1.22320712e+04  1.22320712e+04  0.00000000e+00  7.47398271e+01  1.57451414e+00 
 1.25892541e+04  1.25892541e+04  0.00000000e+00  7.44898305e+01  1.57440866e+00 
 1.29568670e+04  1.29568670e+04  0.00000000e+00  7.42398336e+01  1.57430617e+00 
 1.33352143e+04  1.33352143e+04  0.00000000e+00  7.39898366e+01  1.57420658e+00 
 1.37246096e+04  1.37246096e+04  0.00000000e+00  7.37398394e+01  1.57410982e+00 
 1.41253754e+04  1.41253754e+04  0.00000000e+00  7.34898421e+01  1.57401581e+00 
 1.45378439e+04  1.45378439e+04  0.00000000e+00  7.32398446e+01  1.57392446e+00 
 1.49623566e+04  1.49623566e+04  0.00000000e+00  7.29898470e+01  1.57383570e+00 
 1.53992653e+04  1.53992653e+04  0.00000000e+00  7.27398493e+01  1.57374946e+00 
 1.58489319e+04  1.58489319e+04  0.00000000e+00  7.24898514e+01  1.57366567e+00 
 1.63117291e+04  1.63117291e+04  0.00000000e+00  7.22398534e+01  1.57358426e+00 
 1.67880402e+04  1.67880402e+04  0.00000000e+00  7.19898553e+01  1.57350515e+00 
 1.72782598e+04  1.72782598e+04  0.00000000e+00  7.17398570e+01  1.57342829e+00 
 1.77827941e+04  1.77827941e+04  0.00000000e+00  7.14898587e+01  1.57335361e+00 
 1.83020611e+04  1.83020611e+04  0.00000000e+00  7.12398603e+01  1.57328105e+00 
 1.88364909e+04  1.88364909e+04  0.00000000e+00  7.09898618e+01  1.57321055e+00 
 1.93865264e+04  1.93865264e+04  0.00000000e+00  7.07398632e+01  1.57314205e+00 
 1.99526231e+04  1.99526231e+04  0.00000000e+00  7.04898646e+01  1.57307549e+00 
 2.05352503e+04  2.05352503e+04  0.00000000e+00  7.02398658e+01  1.57301082e+00 
 2.11348904e+04  2.11348904e+04  0.00000000e+00  6.99898670e+01  1.57294798e+00 
 2.17520403e+04  2.17520403e+04  0.00000000e+00  6.97398681e+01  1.57288693e+00 
 2.23872114e+04  2.23872114e+04  0.00000000e+00  6.94898692e+01  1.57282760e+00 
 2.30409298e+04  2.30409298e+04  0.00000000e+00  6.92398702e+01  1.57276997e+00 
 2.37137371e+04  2.37137371e+04  0.00000000e+00  6.89898712e+01  1.57271396e+00 
 2.44061907e+04  2.44061907e+04  0.00000000e+00  6.87398721e+01  1.57265955e+00 
 2.51188643e+04  2.51188643e+04  0.00000000e+00  6.84898729e+01  1.57260667e+00 
 2.58523484e+04  2.58523484e+04  0.00000000e+00  6.82398737e+01  1.57255530e+00 
 2.66072506e+04  2.66072506e+04  0.00000000e+00  6.79898744e+01  1.57250539e+00 
 2.73841963e+04  2.73841963e+04  0.00000000e+00  6.77398752e+01  1.57245689e+00 
 2.81838293e+04  2.81838293e+04  0.00000000e+00  6.74898758e+01  1.57240977e+00 
 2.90068120e+04  2.90068120e+04  0.00000000e+00  6.72398765e+01  1.57236398e+00 
 2.98538262e+04  2.98538262e+04  0.00000000e+00  6.69898771e+01  1.57231949e+00 
 3.07255737e+04  3.07255737e+04  0.00000000e+00  6.67398776e+01  1.57227627e+00 
 3.16227766e+04  3.16227766e+04  0.00000000e+00  6.64898782e+01  1.57223427e+00 
 3.25461783e+04  3.25461783e+04  0.00000000e+00  6.62398787e+01  1.57219346e+00 
 3.34965439e+04  3.34965439e+04  0.00000000e+00  6.59898791e+01  1.57215381e+00 
 3.44746607e+04  3.44746607e+04  0.00000000e+00  6.57398796e+01  1.57211528e+00 
 3.54813389e+04  3.54813389e+04  0.00000000e+00  6.54898800e+01  1.57207785e+00 
 3.65174127e+04  3.65174127e+04  0.00000000e+00  6.52398804e+01  1.57204148e+00 
 3.75837404e+04  3.75837404e+04  0.00000000e+00  6.49898808e+01  1.57200614e+00 
 3.86812055e+04  3.86812055e+04  0.00000000e+00  6.47398811e+01  1.57197180e+00 
 3.98107171e+04  3.98107171e+04  0.00000000e+00  6.44898815e+01  1.57193844e+00 
 4.09732110e+04  4.09732110e+04  0.00000000e+00  6.42398818e+01  1.57190602e+00 
 4.21696503e+04  4.21696503e+04  0.00000000e+00  6.39898821e+01  1.57187452e+00 
 4.34010264e+04  4.34010264e+04  0.00000000e+00  6.37398824e+01  1.57184391e+00 
 4.46683592e+04  4.46683592e+04  0.00000000e+00  6.34898826e+01  1.57181418e+00 
 4.59726989e+04  4.59726989e+04  0.00000000e+00  6.32398829e+01  1.57178528e+00 
